Nom De L'application,Prix,Catégorie,Developpeur,Date De Sortie,Description
ZArchiver,4.99,Utilitaires et outils,ZArchiver,2/16/2021 4:55:32 PM,"Terms of Service and Privacy notice	
ZArchiver is a cross-platform file archiver utility oriented to security, that provides an unified portable GUI for many Open Source technologies like 7-Zip, FreeArc, PAQ, UPX... free alternative to WinRar, WinZip and similar proprietary software.
- Create 7Z, ARC, BZ2, GZ, *PAQ, PEA, QUAD/BALZ, TAR, UPX, WIM, XZ, ZIP files
- Open and extract ACE, ARJ, CAB, DMG, ISO, LHA, RAR, UDF, ZIPX files and more, over 200 archive types supported
Features of ZArchiver includes: archives opener and extractor, batch creation and extraction of multiple archives at once, convert files, create self-extracting archives, split and join files, strong encryption with two factor authentication, safe encrypted password manager, secure deletion, find duplicate files, calculate hash and checksum, export job definition as script."
DataZilla - FTP Client,0.99,Utilitaires et outils,CoderLearn,10/17/2022 8:56:02 AM,"DataZilla is an FTP, SFTP, and FTPS client based on FileZilla, customized for Windows 10/11. DataZilla's dynamic tools help you move files between your local machine and your Web site's server effortlessly. For example, DataZilla lets you compare your files with in-directory server files to manage file syncing. You can also tab browse between servers and transfer files to them simultaneously, as well as edit server files on the go.

Features:
- Transfer files using FTP and encrypted FTP such as FTPS (server and client) and SFTP.[7]
- Support IPv6 which is the latest version of internet protocol
- Supports resume which means the file transfer process can be paused and continued
- Ability to overwrite existing files only if the source file is newer
- Ability to overwrite existing files only if the file size does not match
- Ability to preserve the time stamps of transferred files, given support by local system (downloading) or target server (uploading).
- Tabbed user interface for multitasking, to allow browsing more than one server or even transfer files simultaneously between multiple servers.
- Site Manager to manage server lists and transfer queue for ordering file transfer tasks
- Bookmarks for easy access to most frequent use
- Drag and drop to download and upload.
- Directory comparison for comparing local files and server files in the same directory. When the file doesn't have the same information (name - not match, or size not match) it will highlight that file in colour.
- Configurable transfer speed limits to limit the speed transferring the files, which helps reducing error of transferring
- Filename filters, users can filter only specific files that have the conditions they want.
- Network configuration wizard, help configuring confusing network settings in form of step-by-step wizard
- Remote file editing, for quickly edit file on server side on-the-fly. No need to download, edit on the computer and re-upload back to the server.
- Keep-alive, if the connection has been idle for the long time it will check by sending keep-alive command.
HTTP/1.1, SOCKS5 and FTP-Proxy support
- Logging events to file for debugging, saved at custom location.
- Ability to export queues (pending, failed, finished) into an XML format file
- Synchronised directory browsing
- Remote file search to search file on the server remotely
- Supports resume and transfer of large files >4GB
- Secure password storage protected with a master password
- Available in 47 languages worldwide (Arabic, Armenian, Basque, Bulgarian, Catalan, Chinese, Corsican, Croatian, Czech, Danish, Dutch, German, Greek, Estonian, Finnish, French, Galician, Hebrew, Hungarian, Indonesian, Icelandic, Italian, Japanese, Georgian, Khmer, Korean, Kurdish, Kyrgyz, Lithuanian, Latvian, Macedonian, Norwegian, Nepali, Occitan, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Slovenian, Spanish, Thai, Turkish, Ukrainian, Vietnamese)

- DataZilla is released under GNU General Public License (GPL) version 2: https://www.gnu.org/licenses/old-licenses/gpl-2.0.en.html
- Source code can be found on the About dialog

Note: This app doesn't support Windows 10S"
Screen Mirroring & Cast to TV,3.99,Social,Hilarious,7/17/2023 5:51:11 AM,"With Screen Mirroring & Cast to TV, you can easily cast your favorite movies, TV shows and games from your mobile device to your TV without any additional hardware. Whether you're streaming from YouTube, Netflix, or any other app, Screen Mirroring & Cast to TV delivers smooth and seamless performance with stunning picture quality and immersive sound."
Text Grab,2.49,Utilitaires et outils,JoeFinApps,12/29/2020 9:39:27 AM,"A quick app to grab any on screen text using the Optical Character Recognition (OCR) built into Windows 10. Text Grab does not need to run in the background and does not require the internet to work. This app was built to be quick and get out of the way, making you more productive on Windows. By using the built-in notifications, minimal clicks, and quick startup; Text Grab can easily be used hundreds of times a day! Text Grab uses your Windows installed language to recognize text, so it is available in many different languages.

Where Text Grab is useful
- Pictures
- PDFs
- Application text
- Videos
- Websites
Any mixture of the above

Text Grab has three different modes.
Mode 1: Fullscreen capture
This works by simply selecting a rectangular region, or just clicking a word, and Text Grab attempts to copy any text within the region to the Windows Clipboard.

Mode 2: Grab Frame
This is a floating window which can be placed over any window. This window will attempt to capture any text within the bounds of the Window.

Mode 3: Edit Text Window
In this mode Text Grab is like a super charged Notepad. With a plain text area, you can capture, collect, and manipulate the text.

To view the history of what Text Grab has copied open the Windows Clipboard History with Windows key + V

Text Grab is open source on GitHub:
https://github.com/TheJoeFin/Text-Grab
Feel free to open issues, fork the repo, or open a pull request."
Any Audio Cutter: mp3 cutter & audio trimmer,0.99,Conception multimédia,"AnywaySoft, Inc.",6/27/2019 9:38:51 AM,"Any Audio Cutter is a useful tool to trim / cut mp3 and other audio files.

Features:
1. Trim an audio file such as mp3.
2. Support all audio codecs such as mp3, m4a, wav, flac, aac, wma, etc.
3. Support most popular output audio formats including mp3, m4a, flac, wav.
4. Display waveform graph of the input audio file.
5. Able to preview the trimmed audio before extract it.
6. Easy to use."
PDF Converter Pro : PDF To DOCX,2.99,Productivité,finetuneapps,4/6/2023 7:29:14 AM,"PDF Converter Pro: PDF to DOCX is a powerful and versatile conversion tool designed exclusively for the Microsoft Windows Store. This easy-to-use application is specifically tailored to help you effortlessly convert your PDF files into various file formats, including Word, Excel, TIFF, PNG, RTF, XML, and HTML. With its user-friendly interface and top-notch conversion capabilities, PDF Converter Pro: PDF to DOCX is your go-to solution for all your PDF conversion needs.

Key Features:

PDF to Word: Convert your PDF files to editable Word documents (.docx) with precision and accuracy, preserving the original formatting and layout.

PDF to Excel: Transform your PDF files into well-organized Excel spreadsheets (.xlsx) for easy data manipulation and analysis.

PDF to TIFF: Export your PDF files as high-quality TIFF images, suitable for print and professional graphics applications.

PDF to PNG: Convert your PDF files to portable and widely supported PNG images without compromising on quality.

PDF to RTF: Effortlessly convert your PDF files to Rich Text Format (.rtf), ensuring compatibility with a wide range of word processing software.

PDF to XML: Extract structured data from your PDF files by converting them to XML format, facilitating data interchange and storage.

PDF to HTML: Turn your PDF files into HTML web pages, making them easily accessible and viewable on any web browser.

PDF to TXT: Convert your PDF files to plain text (.txt) format for further editing or data extraction purposes.

User-Friendly Interface: Navigate through PDF Converter Pro: PDF to DOCX's clean and intuitive interface, designed for users of all skill levels.

Batch Conversion: Save time and effort by converting multiple PDF files simultaneously, streamlining your conversion process.

High-Quality Output: Enjoy consistently high-quality output across all conversion formats, ensuring your converted files retain their original appearance and structure.

Fast Conversion Speed: Experience rapid file conversion without sacrificing accuracy, thanks to PDF Converter Pro: PDF to DOCX's powerful conversion engine.

Windows Store Compatibility: Designed exclusively for the Microsoft Windows Store, PDF Converter Pro: PDF to DOCX seamlessly integrates with your Windows device for a smooth user experience.

Transform your PDF files into the format you need with PDF Converter Pro: PDF to DOCX, the ultimate conversion tool for the Microsoft Windows Store. Don't compromise on quality or ease-of-use; make PDF Converter Pro: PDF to DOCX your go-to solution for all your PDF conversion requirements."
EPS Viewer Pro,4.99,Utilitaires et outils,Nice Monday Studio,5/5/2022 10:55:11 AM,"This is EPS file reader software, which can open EPS graphic files and view EPS files, browse EPS files of any size, and easily enlarge and reduce images. It is very simple and easy to use, suitable for every user who needs to open EPS files."
CrystalDiskMark,9.99,Utilitaires et outils,Crystal Dew World,10/12/2016 7:14:36 AM,CrystalDiskMark is a simple storage benchmark.
Game to VR,9.99,Affaires,Marcil Apps,10/19/2022 2:42:51 AM,"Play PC games on your VR headset.

Display the game in your headset and control the game with your mouse and keyboard.

* We officially support such headsets as HTC Vive Focus, Quest 2, Oculus Go, Samsung Gear VR and Quest Pro."
Editeur de vidéo : Cinéaste Pro,3.89,Utilitaires et outils,Sihua Studio,5/17/2023 6:00:57 AM,"Il s'agit d'un logiciel d'édition avec des fonctions telles que l'édition vidéo, l'édition vidéo, l'épissage vidéo et la segmentation vidéo. Il est spécialement personnalisé pour les amateurs de montage vidéo. Devenez un expert vidéo sur les plateformes sociales populaires!"
Tuxpaint Raster Graphics Editor,7.99,Photo et vidéo,Dev Packager,8/2/2021 3:17:34 PM,Tuxpaint is a raster graphics editor - a program for creating and processing raster graphics geared towards young children.
XLSX Edit Pro,2.99,Utilitaires et outils,Media Life,11/19/2018 3:06:08 AM,"XLSX Edit Pro is a complete spreadsheet program for XLS,XLSX,CSV files. Create, open, and edit your own spreadsheets or spreadsheets from Office / Excel. 

XLSX Edit Pro is the best way to work with Excel docs without installing MS Office or having the Internet connection on your device. It's a very useful tool for everyone who needs to create or edit Excel documents. The app includes all the necessary Excel functions and formulas, as well as various possibilities for document formatting.

In addition to the above.
It can also encrypt excel files."
LyOffice,2.89,Utilitaires et outils,Cainey Studio,2/28/2023 1:03:12 PM,"This program is a office suite application that can be used to create text documents, spreadsheets, presentations, and more.

Must install Microsoft Visual C++ first."
Smart Cast to TV,4.99,Affaires,AAN Software,8/7/2023 3:34:33 PM,"Cast Your PC to Samsung TV

Wirelessly connect your PC to your TV and select videos, pictures, or even music to cast. Your content will play instantly on your TV."
Start Sidebar,0.99,Personnalisation,KS.STUDIO,9/5/2023 1:14:36 AM,"The classic Windows sidebar provides a variety of widgets and is constantly increasing!
The sidebar can provide you with various conveniences, such as viewing time and date, weather forecast, desktop notes, RSS reader, etc. It takes up very little resources but can greatly enrich the system's functions. Welcome to experience!
Currently included widgets:
Clock, calendar, weather forecast, notes, resource viewer, music player, desktop football, desktop basketball, RSS reader, shortcuts, folder display, system tools, website favorites, search tools, image slides, system buttons, screenshot tools"
Video Training for PowerPoint ® 2013,7.99,Productivité,Mediaforma,9/3/2013 7:51:30 PM,"You have finally decided to use PowerPoint 2013?
This is an excellent choice!
Numerous powerful and attractive features await you.
With this training, Mediaforma shows you how to go straight to the essential in order to be immediately operational and create presentations like a professional!

Topics include:
- Using tags when saving a presentation
- Removing a picture background
- Automatic shapes
- Adding organization charts
- Embedding tables
- Matching colors
- Aligning objects
- Merging common shapes
- Custom shows
- Using action buttons
- Using the slide sorter
- Embedding fonts in a presentation
- Apps for Office"
Lexis Audio Editor,3.39,Utilitaires et outils,pamsys,6/29/2013 4:07:32 PM,"Create new audio recordings or edit audio files with the editor. Save the files in the desired audio format.
Transcribe the audio file automatically with AI in 96 languages. 
The trial version has all the features of the paid version (except the AddOn functions) including save in wav, wma and m4a format. The saving in mp3 format is available only in the paid version."
VNC Viewer APP,0.99,Utilitaires et outils,Weila Studio,4/12/2023 9:59:25 AM,"VNC Viewer APP is a remote PC software that allows users instant and remote access to any computer - be it a Windows PC, Linux computer or Mac. This application helps you view the desktop of a remote computer and control its keyboard and mouse."
Leonardo,39.99,Conception multimédia,Xade Software AB,2/12/2019 11:13:06 PM,"Notre mission est de créer la meilleure application de dessin et de peinture pour Windows. Leonardo fonctionne très bien sur Surface, Wacom et toutes les autres tablettes. L’application prend en charge la fonction tactile et la pression stylet. Ce qui rend Leonardo unique, c’est sa toile infinie, son interface facile à utiliser et son incroyable vitesse !

Au cours de la phase bêta de Leonardo, nous vous proposons une réduction de 50 % (39 $) sur l’achat de l’outil avec une mise à jour gratuite lors de la sortie de la future version non bêta !

Leonardo peut être utilisé pour :
– dessiner
– peindre
– esquisser
– écrire
– tracer

Leonardo offre :
– une interface utilisateur bien conçue qui s’adapte à tous les écrans ;
– une toile infinie qui fonctionne merveilleusement bien pour une session de brainstorming ;
– des modes pour dessiner en perspective les grandes lignes d’un projet ;
– des pinceaux incroyables adaptés au croquis, à la calligraphie et à la peinture ;
– des calques qui vous permettent d’optimiser votre organisation.

Leonardo est toujours en version bêta. Dès qu’elles seront disponibles, les fonctionnalités suivantes seront offertes gratuitement lors de la mise à jour :
– des pinceaux à personnaliser et enregistrer
– des raccourcis personnalisés
– des dossiers de calques
– un outil de déformation"
Universal Zip,2.99,Utilitaires et outils,Bryce Hutchings,4/16/2018 7:17:01 AM,"Extract or create all of the most common formats including zip, 7z, rar, gzip, bzip2, tar, and wim.

Benchmarks show that Universal Zip is 2-3x faster than the other popular unzipping programs in the Microsoft Store."
Amaziograph,1.29,Divertissement,Amaziograph Ltd,4/29/2017 7:29:34 AM,"Have you ever dreamed to paint pictures like nobody else? 
Do you want to feel like an artist or modern designer?
Could this be so easy and amusing?

Amaziograph is the answer.

With Amaziograph creating art has never been easier.
Professional  tattooists, artists, designers and architects will also have great fun with Amaziograph and even can use it in their projects.
Amaziograph is already used in school art rooms - It is a perfect application to introduce the amazing world of tessellations and symmetries in art.

Amaziograph will bring you in the world of digital art in a new innovative and fun manner.

In the ocean of drawing applications what does make Amaziograph so unique?
- Astonishing symmetric pictures using different type of tessellations like kaleidoscopes, mirrors and more. Creating a tessellation is easy: choose the type of graph you want and then draw! You can see how your tessellation changes as you draw. Whatever you draw, it looks beautiful.
- Simple to use interface. It is so simple that children can easily use it.
- Completely new intuitive approach in using basic colors in the palette and mixing them, just like professional painters. To create a new color, just drag an existing color from one cell into another cell and mix!"
Enregistreur vocal : enregistreur audio,1.29,Utilitaires et outils,Wang Kelin Studio,1/10/2023 3:22:19 AM,"L'enregistreur audio et l'enregistreur vocal sont un outil très pratique et simple qui vous permet d'enregistrer votre voix avec un microphone et de l'enregistrer en tant que fichier WAV avec le chemin et le format que vous souhaitez l'enregistrer.

1. Enregistrez la voix et l'audio au format WAV.

2. Modifiez la destination du fichier par défaut.

3. Définissez les raccourcis clavier mondiaux.

4. Énumérez les périphériques d'entrée.

5. Ajustez le volume de l'audio."
"EPUB,MOBI,AZW3 Lecteur",3.99,Utilitaires et outils,Novelty Studio,8/9/2022 11:24:14 AM,"The reader allows to read books in PDF, EPUB, Kindle (MOBI, AZW3), TXT and other formats.
 
Support highlighting, column reading, horizontal page turning, whole book search, text-to-speech, bookshelf management, zoom in to see pictures, quick view links, word query and multi-tab.
 
Make it easy for users to read books!"
Find My Phones,2.99,Livres et référence,Niente,3/8/2023 6:15:11 PM,"Lost your phone? Don't panic. Find My Devices will help you locate your phone or tablet and protect your data. No matter you phone is Android, iPhone or Samsung, this app will helps you locate your lost phone and lock it until you get it back.

Noted: Our app cannot run on Windows S mode."
Screen Mirroring - Remote Phone from Windows,4.99,Utilitaires et outils,Gal Soft,5/11/2023 7:02:51 AM,"Requirements
1. The Android device requires at least API 21 (Android 5.0).
2. Make sure you enabled adb debugging on your device(s). (https://developer.android.com/tools/adb#Enabling)

This is the ultimate tool for controlling your Android device from your Windows PC. With screen mirroring, you can easily and seamlessly connect your Android device to your computer via USB or wirelessly and view your device's screen in high definition on your computer monitor.
Noted: We are not affiliated with Google Inc."
Bootable USB Creator,0.99,Utilitaires et outils,CoderLearn,10/4/2022 9:58:13 AM,"Bootable USB Creator is a fast tool to create a bootable USB drive on Windows. Bootable USB Creator provide a modern and easy to use GUI, so you can easily create a bootable USB drive to setup your operating system, or a DOS bootable USB drive to diagnostic your machine.

Features:
- Create bootable drives from bootable ISOs (Windows, Linux, etc.)
- Create bootable drives from bootable disk images, including compressed ones
- Create DOS bootable USB drives, using FreeDOS or MS-DOS (Windows 8.1 or earlier)
- Create Windows 11 installation drives for PCs that don't have TPM or Secure Boot
- Create Windows To Go drives
- Download official Microsoft Windows 7, Windows 8, Windows 10 or Windows 11 retail ISOs
- Improve Windows installation experience by automatically setting up OOBE parameters (local account, privacy options, etc.)
- Create persistent Linux partitions
- Create BIOS or UEFI bootable drives, including UEFI bootable NTFS
- Create VHD/DD images of a drive
- Download UEFI Shell ISOs
- Compute MD5, SHA-1, SHA-256 and SHA-512 checksums of the selected image
- Perform bad blocks checks, including detection of ""fake"" flash drives
- Format USB, flash card and virtual drives to FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3

Bootable USB Creator is licensed under the terms of GPLv3 (https://www.gnu.org/licenses/gpl-3.0.html), based on Rufus (https://rufus.ie). Source code can be found here: https://apps.coderlearn.com/buc-source/

Note: This app does not support Windows 10S"
Controller X,0.99,Utilitaires et outils,Mersad.M,3/22/2017 9:07:24 AM,"This app can test the Xbox one controllers.
Test buttons and the thumb sticks and triggers sensitivity.
Test all of vibration motors.
Support multiple controllers.
Enjoy!"
Pure APK App Installation,2.99,Outils de développement,BlissMath,12/6/2023 9:32:52 AM,"This is a simple APK installer for Windows using Windows Subsystem for Android (WSA). This app designed to be intuitive and to make the user instantly feel at home. No need to install ADB and know its commands, APK Installer takes care of everything!"
2FA Authenticator Desktop,1.19,Sécurité,XSoft Studio,6/23/2023 9:40:46 AM,"2FA Authenticator Desktop brings the future of strong authentication to the convenience of your Windows device. The 2FA Authenticator Desktop app generates secure 2 step verification tokens on your device. It helps you protect your account from hackers and hijackers by adding an additional layer of security.

The verification code can be generated by the 2FA Authenticator Desktop app on Windows even if you don't have a network or cellular connection.

Features
Add accounts by scanning QR codes in screen
Add accounts by backup file, compatible with Authenticator extensions
Add accounts by manual, QR file
Backup your secrets to a file
Sync your secrets with your Google Account
Import data from Google Authenticator"
High Definition Audio.,4.99,Affaires,Global Software Co,8/20/2022 3:31:29 AM,"Download and install HD Audio Manager (Nvidia) for your PC. 

Calibrate and customize every aspect of your audio settings on your PC. Letting you get the most out of your speaker's audio. Select from five different profiles to suit your audio, or customize one according to your needs.

HD Audio Manager is an excellent software package for controlling the sound settings on your Windows PC."
StaffPad,89.99,Musique,StaffPad Ltd,3/30/2015 2:48:01 PM,"MADE FOR COMPOSERS.
StaffPad is designed for composers who want to create music effortlessly, using handwriting recognition for music notation and seamless audio support on your score canvas. Write your music using Surface Pen, and the app will transform your writing into beautifully typeset notation that can be edited, played back, printed and shared. Record or import audio directly onto your score, edit intuitively with pen gestures, drag in royalty-free Elements and mix your score with StaffPad's suite of studio effects. From basic idea to a full film score, StaffPad is the easiest, most powerful and most intuitive way to create music on a Windows tablet.

*IMPORTANT NOTE: STAFFPAD **REQUIRES** A DEVICE WITH ACTIVE PEN CAPABILITIES. DESIGNED FOR SURFACE.

————————————

EDIT EASILY
Write your score with the fluidity of natural handwriting. Use touch and pen to quickly edit your notation. Transpose, repeat and structure your score with intuitive gestures and tools. Add smart symbols easily from the symbols palette, turning the pen into an articulation paintbrush. Customise the tempo with a unique tempo staff (or import a tempo map from a MIDI file), add chords either manually or automatically with the chord staff. You can even copy music written in StaffPad into other apps, simply using the normal copy and paste functions. Every aspect of StaffPad has been thought about from a composer's point of view, making the tools simple to create your masterpiece. 

————————————

HEAR YOUR MASTERPIECE.
With a groundbreaking playback engine and over 55 included instruments, StaffPad is ready to perform your written piece instantly. Add industry-standard sample libraries, adapted and customised for StaffPad, from some of the world's leading sample developers. This is a leap forward for composers working at the highest levels.

————————————

SHARE WITH SCORESYNC
Once you're ready to perform or record your work, tap the ScoreSync button in StaffPad and your score is instantly shared across a Wi-Fi network to any device running the free StaffPad Reader app (available in the App Store). The Readers present each individual musical part beautifully formatted, update in realtime with any changes you make to your score, handle automatic page turns, and play back in perfect time with a synchronised metronome, for capturing the perfect recording every time. 

————————————

IMPORT AND EXPORT
StaffPad imports and exports MusicXML and MIDI files for easily working with other music apps. You can also export your playback as WAV, AAC or MP3. You can import audio files into your score, with support for most major audio formats.

————————————

WORK WITH AUDIO
For the first time, you can seamlessly mix audio with your notated score. Record directly onto the score canvas using your device's in-built microphones, whilst monitoring a metronome through headphones. Import existing audio in most major audio formats. Tempo map freeform/rubato performances using the tempo staff. Add shine to your production with a suite of studio quality DSP effects, and polish with precise automation. This opens a world of possibilities, and makes it possible to create release-quality productions entirely in StaffPad.

————————————

MARKUP
Annotate your score with either private or public (shared with the Readers) annotation pens. Public pens allow for instant written communication with individual musicians in the room via ScoreSync and StaffPad Reader.

————————————

PRINT / PDF
As well as digital parts via ScoreSync, StaffPad will automatically format and print parts or export PDFs for you. Customise the paper size, bar number styles, number of bars per line, scaling, margins, multi-bar consolidation and more. StaffPad automatically formats the score for consistent presentation.

————————————

COMPOSER ASSISTANT
StaffPad features ""Fenby"", our voice-activated composer assistant, who can assist you in routine tasks like setting up your score, adding instruments, tempos, bar line styles, key changes and more. 

COMPATIBILITY:
StaffPad REQUIRES a device with a digital pen (also known as an active digitizer) and multitouch capabilities in order to function as designed*. If your device does not support pen and touch, the app will not function correctly. Support will not be available to users attempting to run StaffPad on an incompatible device.

*StaffPad has been designed for Surface"
Anatomie & Physiologie : Intro systèmes du corps humain,17.49,Éducation,Visible Body,6/16/2014 7:58:46 PM,"Partez à la conquête de ces thèmes ardus de l'anatomie ! Laissez de côté votre manuel de cours, vos spécimens de laboratoire ou vos modèles 3D en plastique et embarquez pour une expérience captivante en 3D.
- Zoomez vers l'avant pour visualiser véritablement en 3D la manière dont les nerfs quittent la moelle épinière, et leur lien avec les vertèbres. 
- Faites effectuer des rotations au modèle pour étudier les branches des nerfs crâniens ou la micro-anatomie de l'œil sous tous les angles.
- Visualisez une animation en 3D de 50 secondes vous expliquant la physiologie des contractions musculaires.
- Vous pouvez personnaliser l'appli et suivre vos progrès. Créez une bibliothèque de Favoris regroupant les modèles en 3D, les illustrations, les animations et les notes que vous avez besoin de réviser. Accédez à une évaluation question par question de vos performances aux quizz afin de contrôler votre compréhension des concepts. 

L’appli regroupe 12 unités de 50 chapitres/modules recourant à plus de 500 vues prédéfinies de modèles en 3D, plus de 150 illustrations et animations, des dizaines de diapositives d’histologie et des centaines de questions de quiz.

Au sein de chacune des 12 unités d'apprentissage, de nombreuses possibilités s'offrent à vous :
- Faites effectuer une rotation aux modèles anatomiques. Zoomez vers l'avant ou l'arrière. 
- Lisez les définitions et écoutez les prononciations. 
- Visionnez de courtes animations expliquant les processus biologiques.
- Étudiez en créant des fiches de notes. Enregistrez vos vues préférées pour les consulter ultérieurement.
- Suivez vos progrès grâce à des listes de contrôle des objectifs d'apprentissage. 
- Testez vos connaissances grâce aux quizz. 
- Partagez du contenu avec les autres.

L'appli Anatomie & Physiologie présente les fonctions fondamentales de tous les systèmes du corps, notamment :
Les cellules et tissus
Le système tégumentaire
Le système squelettique
Le système musculaire
Le système nerveux
Le système endocrinien
Le système circulatoire
Le système lymphatique
Le système respiratoire
Le système digestif
Le système urinaire
Le système reproducteur"
V2ray VPN.,3.49,Loisirs,Ruiming starry sky,6/20/2023 6:20:28 AM,"This application is a V2ray node information software, one-click access to V2ray node information, with the corresponding tools, you can have a stable network environment, and enjoy browsing various web pages."
Flash Player Max,4.29,Photo et vidéo,广州色蕴动漫科技有限公司,5/18/2022 8:20:51 AM,"A Flash Browser that can play Adobe Flash files on Windows PC.

The blocked Flash content in the web page can be opened by the SWF player.

this app does not support Windows 10 S."
Win Lecteur de DVD.,2.69,Photo et vidéo,GoodmorningStudio,7/27/2023 8:19:54 AM,"Il s'agit d'une application qui vous aide à lire des DVD sur Windows 10/11.
Il peut lire des DVD et des fichiers vidéo de l'utilisateur dans d'autres formats.
Par exemple MP4, .mov, .mkv, .avi, .flv, etc."
DVD CD Blu-Ray Birner,1.99,Utilitaires et outils,Sunshine office,3/24/2022 3:14:34 PM,"Il peut graver et créer des disques rapidement et facilement. La musique, les films et toute autre donnée peuvent être stockés sur des CD, et les films personnels peuvent être gravés sur des CD, des Blu-ray et des DVD pour les partager avec vous."
